code,term,system,codelist
0209000L0BCABAC,Pyridantin 100mg tablets,BNF,antiplatelets
0209000L0BGAAAM,Attia 200mg modified-release capsules,BNF,antiplatelets
0209000L0BHAAAM,Ofcram PR 200mg capsules,BNF,antiplatelets
0209000L0BIAAAM,Trolactin 200mg modified-release capsules,BNF,antiplatelets
0209000V0AAAAAA,Dipyridamole 200mg modified-release / Aspirin 25mg capsules,BNF,antiplatelets
0209000V0BBAAAA,Asasantin Retard capsules,BNF,antiplatelets
0209000V0BCAAAA,Molita 200mg/25mg modified-release capsules,BNF,antiplatelets
0209000V0BDAAAA,Atransipar 200mg/25mg modified-release capsules,BNF,antiplatelets
0209000Y0AAAAAA,Prasugrel 5mg tablets,BNF,antiplatelets
0209000Y0AAAAAA,Prasugrel 5mg tablets,BNF,antiplatelets
0209000A0AAAKAK,Aspirin 75mg gastro-resistant tablets,BNF,antiplatelets
0209000A0AAAKAK,Aspirin 75mg gastro-resistant tablets,BNF,antiplatelets
0209000A0AAAKAK,Aspirin 75mg gastro-resistant tablets,BNF,antiplatelets
0209000A0AAAKAK,Aspirin 75mg gastro-resistant tablets,BNF,antiplatelets
0209000A0AAAKAK,Aspirin 75mg gastro-resistant tablets,BNF,antiplatelets
0209000A0AAAKAK,Aspirin 75mg gastro-resistant tablets,BNF,antiplatelets
0209000A0AAAKAK,Aspirin 75mg gastro-resistant tablets,BNF,antiplatelets
0209000A0AAAKAK,Aspirin 75mg gastro-resistant tablets,BNF,antiplatelets
0209000A0AAAKAK,Aspirin 75mg gastro-resistant tablets,BNF,antiplatelets
0209000A0AAAKAK,Aspirin 75mg gastro-resistant tablets,BNF,antiplatelets
0209000A0AAABAB,Aspirin 75mg dispersible tablets,BNF,antiplatelets
0209000A0AAABAB,Aspirin 75mg dispersible tablets,BNF,antiplatelets
0209000A0AAABAB,Aspirin 75mg dispersible tablets,BNF,antiplatelets
0209000A0AAABAB,Aspirin 75mg dispersible tablets,BNF,antiplatelets
0209000A0AAABAB,Aspirin 75mg dispersible tablets,BNF,antiplatelets
0209000A0AAABAB,Aspirin 75mg dispersible tablets,BNF,antiplatelets
0209000A0AAABAB,Aspirin 75mg dispersible tablets,BNF,antiplatelets
0209000A0AAABAB,Aspirin 75mg dispersible tablets,BNF,antiplatelets
0209000A0AAABAB,Aspirin 75mg dispersible tablets,BNF,antiplatelets
0209000A0AAABAB,Aspirin 75mg dispersible tablets,BNF,antiplatelets
0209000C0AAARAR,Clopidogrel 7mg/ml oral suspension,BNF,antiplatelets
0209000C0AAARAR,Clopidogrel 7mg/ml oral suspension,BNF,antiplatelets
0209000C0AAASAS,Clopidogrel 5mg/5ml oral solution,BNF,antiplatelets
0209000C0AAASAS,Clopidogrel 5mg/5ml oral solution,BNF,antiplatelets
0209000C0BBAAAA,Plavix 75mg tablets,BNF,antiplatelets
0209000C0BBABAE,Plavix 300mg tablets,BNF,antiplatelets
0209000C0BDAAAA,Grepid 75mg tablets,BNF,antiplatelets
0209000L0AAAAAA,Dipyridamole 10mg/2ml solution for injection ampoules,BNF,antiplatelets
0209000L0AAABAB,Dipyridamole 25mg tablets,BNF,antiplatelets
0209000L0AAABAB,Dipyridamole 25mg tablets,BNF,antiplatelets
0209000L0AAABAB,Dipyridamole 25mg tablets,BNF,antiplatelets
0209000L0AAACAC,Dipyridamole 100mg tablets,BNF,antiplatelets
0209000L0AAACAC,Dipyridamole 100mg tablets,BNF,antiplatelets
0209000L0AAACAC,Dipyridamole 100mg tablets,BNF,antiplatelets
0209000L0AAACAC,Dipyridamole 100mg tablets,BNF,antiplatelets
0209000L0AAACAC,Dipyridamole 100mg tablets,BNF,antiplatelets
0209000L0AAACAC,Dipyridamole 100mg tablets,BNF,antiplatelets
0209000L0AAACAC,Dipyridamole 100mg tablets,BNF,antiplatelets
0209000L0AAACAC,Dipyridamole 100mg tablets,BNF,antiplatelets
0209000L0AAACAC,Dipyridamole 100mg tablets,BNF,antiplatelets
0209000L0AAACAC,Dipyridamole 100mg tablets,BNF,antiplatelets
0209000L0AAAJAJ,Dipyridamole 10mg/5ml oral suspension,BNF,antiplatelets
0209000L0AAAJAJ,Dipyridamole 10mg/5ml oral solution,BNF,antiplatelets
0209000L0AAAJAJ,Dipyridamole 10mg/5ml oral suspension,BNF,antiplatelets
0209000L0AAAKAK,Dipyridamole 50mg/5ml oral suspension sugar free,BNF,antiplatelets
0209000L0AAAKAK,Dipyridamole 50mg/5ml oral suspension sugar free,BNF,antiplatelets
0209000L0AAAKAK,Dipyridamole 50mg/5ml oral suspension sugar free,BNF,antiplatelets
0209000L0AAAKAK,Dipyridamole 50mg/5ml oral suspension sugar free,BNF,antiplatelets
0209000L0AAAKAK,Dipyridamole 50mg/5ml oral suspension sugar free,BNF,antiplatelets
0209000L0AAAKAK,Dipyridamole 50mg/5ml oral suspension sugar free,BNF,antiplatelets
0209000L0AAAKAK,Dipyridamole 50mg/5ml oral suspension sugar free,BNF,antiplatelets
0209000A0AABGBG,Aspirin 75mg/5ml oral solution,BNF,antiplatelets
0209000A0AABGBG,Aspirin 75mg/5ml oral suspension,BNF,antiplatelets
0209000A0AABGBG,Aspirin 75mg/5ml oral solution,BNF,antiplatelets
0209000A0AABGBG,Aspirin 75mg/5ml oral suspension,BNF,antiplatelets
0209000A0AABHBH,Aspirin 15mg/5ml oral solution,BNF,antiplatelets
0209000A0AABHBH,Aspirin 15mg/5ml oral suspension,BNF,antiplatelets
0209000A0AABHBH,Aspirin 15mg/5ml oral solution,BNF,antiplatelets
0209000A0AABHBH,Aspirin 15mg/5ml oral suspension,BNF,antiplatelets
0209000A0AABIBI,Aspirin 37.5mg/5ml oral solution,BNF,antiplatelets
0209000A0AABIBI,Aspirin 37.5mg/5ml oral suspension,BNF,antiplatelets
0209000C0AAAAAA,Clopidogrel 75mg tablets,BNF,antiplatelets
0209000C0AAAAAA,Clopidogrel 75mg tablets,BNF,antiplatelets
0209000C0AAAAAA,Clopidogrel 75mg tablets,BNF,antiplatelets
0209000C0AAAAAA,Clopidogrel 75mg tablets,BNF,antiplatelets
0209000C0AAAAAA,Clopidogrel 75mg tablets,BNF,antiplatelets
0209000C0AAAAAA,Clopidogrel 75mg tablets,BNF,antiplatelets
0209000C0AAAAAA,Clopidogrel 75mg tablets,BNF,antiplatelets
0209000C0AAACAC,Clopidogrel 75mg oral powder sachets,BNF,antiplatelets
0209000C0AAACAC,Clopidogrel 75mg oral powder sachets,BNF,antiplatelets
0209000C0AAADAD,Clopidogrel 25mg/5ml oral suspension,BNF,antiplatelets
0209000L0AAABAB,Dipyridamole 25mg tablets,BNF,antiplatelets
0209000L0AAABAB,Dipyridamole 25mg tablets,BNF,antiplatelets
