code,term,system,codelist
3917610000000000,Nurofen 200mg liquid capsules (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled
664811000000000,Nurofen for Children 100mg/5ml oral suspension orange (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled
3915410000000000,Nurofen Plus tablets (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled
4605610000000000,Nurofen for Children Singles 100mg/5ml oral suspension 5ml sachets orange (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled
8061210000000000,Nurofen Back Pain SR 300mg capsules (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled
4606210000000000,Nurofen Cold and Flu tablets (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled
9164610000000000,Nurofen for Children 100mg/5ml oral suspension strawberry (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled
9164310000000000,Nurofen for Children Singles 100mg/5ml oral suspension 5ml sachets strawberry (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled
10768800000000000,Nurofen Extra Strength 400mg capsules (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled
11934500000000000,Nurofen Express 200mg liquid capsules (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled
11934900000000000,Nurofen Express 400mg liquid capsules (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled
21524000000000000,Nurofen Express Period Pain 200mg capsules (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled
23649600000000000,Nurofen for Children Cold Pain and Fever Strawberry Flavour 100mg/5ml oral suspension (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled
23649800000000000,Nurofen for Children Cold Pain and Fever Orange Flavour 100mg/5ml oral suspension (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled
31394900000000000,Nurofen Joint & Back Pain Relief 200mg capsules (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled
31396400000000000,Nurofen Sinus Pressure & Headache Relief 200mg/30mg tablets (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled
32390800000000000,Nurofen for Children 100mg chewable capsules (Reckitt Benckiser Healthcare (UK) Ltd),SNOMED,bleeding_medications_hasbled
3420110000000000,Codafen Continus tablets (Napp Pharmaceuticals Ltd),SNOMED,bleeding_medications_hasbled
643711000000000,Brufen 200mg tablets (Abbott Laboratories Ltd),SNOMED,bleeding_medications_hasbled
263211000000000,Brufen 400mg tablets (Mylan),SNOMED,bleeding_medications_hasbled
