code,term,system,codelist
414894003,O/E - left eye stable treated proliferative diabetic retinopathy (context-dependent category),SNOMED,diabetes_chads
1066930000000000,Diabetes monitoring short message service text message third invitation (procedure),SNOMED,diabetes_chads
1511000000000,Diabetic peripheral neuropathy associated with type II diabetes mellitus,SNOMED,diabetes_chads
421326000,Neurologic disorder associated with type II diabetes mellitus (disorder),SNOMED,diabetes_chads
75682002,Diabetes mellitus caused by insulin receptor antibodies (disorder),SNOMED,diabetes_chads
412752009,Diabetic foot examination declined (context-dependent category),SNOMED,diabetes_chads
413184002,Fibrocalculous pancreatopathy without complication (disorder),SNOMED,diabetes_chads
71771000000000,Type 1 diabetes mellitus with neuropathic arthropathy,SNOMED,diabetes_chads
421365002,Peripheral circulatory disorder associated with type I diabetes mellitus (disorder),SNOMED,diabetes_chads
81531005,Diabetes mellitus type 2 in obese (disorder),SNOMED,diabetes_chads
267471001,Diabetes + eye manifestation (& [cataract] or [retinopathy]) (disorder),SNOMED,diabetes_chads
314903002,Non-insulin dependent diabetes mellitus with arthropathy,SNOMED,diabetes_chads
408412005,O/E - left eye preproliferative diabetic retinopathy (context-dependent category),SNOMED,diabetes_chads
421779007,Exudative maculopathy associated with type II diabetes mellitus (disorder),SNOMED,diabetes_chads
232020009,Diabetic maculopathy,SNOMED,diabetes_chads
399865004,Very severe proliferative diabetic retinopathy (disorder),SNOMED,diabetes_chads
420918009,Mononeuropathy associated with type I diabetes mellitus (disorder),SNOMED,diabetes_chads
422228004,Multiple complications of type I diabetes mellitus (disorder),SNOMED,diabetes_chads
761000000000,Diabetic dyslipidemia associated with type 2 diabetes mellitus,SNOMED,diabetes_chads
420514000,Persistent proteinuria associated with type I diabetes mellitus (disorder),SNOMED,diabetes_chads
237610008,Acrorenal field defect ectodermal dysplasia and lipoatrophic diabetes (disorder),SNOMED,diabetes_chads
422126006,Hyperosmolar coma associated with diabetes mellitus (disorder),SNOMED,diabetes_chads
769222008,Clinically significant macular oedema of left eye co-occurrent and due to diabetes mellitus,SNOMED,diabetes_chads
420270002,Ketoacidosis in type I diabetes mellitus (disorder),SNOMED,diabetes_chads
1491000000000,Diabetic vitreous haemorrhage associated with type II diabetes mellitus,SNOMED,diabetes_chads
190416008,Steroid-induced diabetes mellitus without complication (disorder),SNOMED,diabetes_chads
443694000,Type II diabetes mellitus uncontrolled (finding),SNOMED,diabetes_chads
237608006,Lipodystrophy partial with Rieger anomaly short stature and insulinopenic diabetes mellitus (disorder),SNOMED,diabetes_chads
408409007,O/E - right eye background diabetic retinopathy (context-dependent category),SNOMED,diabetes_chads
420996007,Coma associated with malnutrition-related diabetes mellitus (disorder),SNOMED,diabetes_chads
312906006,Proliferative diabetic retinopathy - non high risk,SNOMED,diabetes_chads
24471000000000,Type 2 diabetic on insulin (finding),SNOMED,diabetes_chads
1066920000000000,Diabetes monitoring short message service text message second invitation (procedure),SNOMED,diabetes_chads
420825003,Gangrene associated with type I diabetes mellitus (disorder),SNOMED,diabetes_chads
110181000000000,Peripheral sensory neuropathy due to type 2 diabetes mellitus,SNOMED,diabetes_chads
