code,term,system,codelist
0208020Y0BBAEAE,Xarelto 15mg / 20mg treatment initiation pack (Bayer Plc),BNF,doacs
0208020X0BBABAB,Pradaxa 110mg capsules (Boehringer Ingelheim Ltd),BNF,doacs
0208020X0BBAAAA,Pradaxa 75mg capsules (Boehringer Ingelheim Ltd),BNF,doacs
0208020AABBAAAA,Lixiana 15mg tablets (Daiichi Sankyo UK Ltd),BNF,doacs
0208020AABBACAC,Lixiana 60mg tablets (Daiichi Sankyo UK Ltd),BNF,doacs
0208020X0AAABAB,Dabigatran etexilate 110mg capsules,BNF,doacs
0208020X0AAAAAA,Dabigatran etexilate 75mg capsules,BNF,doacs
0208020Y0BBADAD,Xarelto 2.5mg tablets (Bayer Plc),BNF,doacs
0208020Y0BBABAB,Xarelto 15mg tablets (Bayer Plc),BNF,doacs
0208020Y0BBACAC,Xarelto 20mg tablets (Bayer Plc),BNF,doacs
0208020Y0BBAAAA,Xarelto 10mg tablets (Bayer Plc),BNF,doacs
0208020Y0AAACAC,Rivaroxaban 20mg tablets,BNF,doacs
0208020Y0AAABAB,Rivaroxaban 15mg tablets,BNF,doacs
0208020Z0AAAAAA,Apixaban 2.5mg tablets,BNF,doacs
0208020AAAAACAC,Edoxaban 60mg tablets,BNF,doacs
0208020AAAAAAAA,Edoxaban 15mg tablets,BNF,doacs
0208020Z0BBAAAA,Eliquis 2.5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),BNF,doacs
0208020Z0BBABAB,Eliquis 5mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd),BNF,doacs
0208020Y0AAAEAE,Rivaroxaban 15mg tablets and Rivaroxaban 20mg tablets,BNF,doacs
0208020X0BBACAC,Pradaxa 150mg capsules (Boehringer Ingelheim Ltd),BNF,doacs
0208020AABBABAB,Lixiana 30mg tablets (Daiichi Sankyo UK Ltd),BNF,doacs
0208020X0AAACAC,Dabigatran etexilate 150mg capsules,BNF,doacs
0208020Y0AAADAD,Rivaroxaban 2.5mg tablets,BNF,doacs
0208020Y0AAAAAA,Rivaroxaban 10mg tablets,BNF,doacs
0208020AAAAABAB,Edoxaban 30mg tablets,BNF,doacs
0208020Z0AAABAB,Apixaban 5mg tablets,BNF,doacs
