code,term,system,codelist
242112007,Fall from car while boarding or alighting due to tripping on seat belt,SNOMED,fall
242402009,Fall on same level due to accidental impact with another person,SNOMED,fall
274919008,Fall on same level due to impact against another person,SNOMED,fall
242406007,Fall due to impact against supermarket shopping cart,SNOMED,fall
242394003,Fall due to accidental trip by another person,SNOMED,fall
274918000,Fall on same level due to nature of surface,SNOMED,fall
242401002,Fall due to leaning on insecure furniture,SNOMED,fall
242405006,Fall due to impact against baby buggy,SNOMED,fall
242079006,Fall from stationary railway vehicle,SNOMED,fall
242387001,Fall due to slipping on ice or snow,SNOMED,fall
217157004,Fall on same level from stumbling,SNOMED,fall
242395002,Fall due to trip on loose carpet,SNOMED,fall
217155007,Fall on same level from slipping,SNOMED,fall
217156008,Fall on same level from tripping,SNOMED,fall
217126004,Accidental fall into storm drain,SNOMED,fall
242185001,Fall on wet deck on board vessel,SNOMED,fall
217083007,Fall on or from stairs or steps,SNOMED,fall
242393009,Fall due to defective pavement,SNOMED,fall
242390007,Fall due to polished surface,SNOMED,fall
404911003,Unexplained recurrent falls,SNOMED,fall
225054009,Fell onto outstretched hand,SNOMED,fall
408561005,Falls caused by medication,SNOMED,fall
217084001,Fall on or from escalator,SNOMED,fall
242392004,Fall in bath or shower,SNOMED,fall
217086004,Fall from escalator,SNOMED,fall
33036003,Fall on same level,SNOMED,fall
217094006,Fall from steps,SNOMED,fall
242414001,Fall from stool,SNOMED,fall
279992002,Recurrent falls,SNOMED,fall
213917004,Fall on train,SNOMED,fall
40104005,Fall in home,SNOMED,fall
242109009,Fall down stairs of motor bus while boarding or alighting,SNOMED,fall
242111000,Fall from car in street while boarding or alighting,SNOMED,fall
242404005,Fall due to impact against pedestrian conveyance,SNOMED,fall
269699007,Fall on same level from impact against object,SNOMED,fall
217121009,Accident caused by fall into swimming pool,SNOMED,fall
242407003,Fall due to impact against wheelbarrow,SNOMED,fall
215634008,Fall on stairs in water transport,SNOMED,fall
242399008,Fall due to failure of support,SNOMED,fall
217173005,Fall from bump against object,SNOMED,fall
242417008,Fall from ambulance stretcher,SNOMED,fall
242391006,Fall due to discarded object,SNOMED,fall
216131006,Fall while on board aircraft,SNOMED,fall
242400001,Fall due to failure of rail,SNOMED,fall
242396001,Fall due to uneven surface indoors,SNOMED,fall
242398000,Fall due to loss of equilibrium,SNOMED,fall
217158009,Fall on moving sidewalk,SNOMED,fall
242389003,Fall due to wet surface,SNOMED,fall
217088003,Fall on or from stairs,SNOMED,fall
242419006,Fall from toilet seat,SNOMED,fall
217092005,Fall on or from steps,SNOMED,fall
17886000,Fall from wheelchair,SNOMED,fall
217130001,Fall into dock,SNOMED,fall
217150002,Fall from stationary vehicle,SNOMED,fall
217090002,Fall from stairs,SNOMED,fall
213925002,Fall from train,SNOMED,fall
217093000,Fall on steps,SNOMED,fall
213912005,Fall in train,SNOMED,fall
20902002,Fall from bed,SNOMED,fall
414190009,Fall on stairs,SNOMED,fall
83468000,Fall from chair,SNOMED,fall
161898004,Falls,SNOMED,fall
1912002,Fall,SNOMED,fall
