code,term,system,codelist
197362001,Toxic liver disease with fibrosis and cirrhosis of liver (disorder),SNOMED,liver_disease_hasbled
253807009,Intrahepatic biliary atresia (disorder),SNOMED,liver_disease_hasbled
213153001,Liver transplant failure and rejection (disorder),SNOMED,liver_disease_hasbled
195475003,Esophageal varices with bleeding associated with another disorder (disorder),SNOMED,liver_disease_hasbled
717187000,Nephronophthisis hepatic fibrosis syndrome (disorder),SNOMED,liver_disease_hasbled
713966008,Occult chronic type B viral hepatitis (disorder),SNOMED,liver_disease_hasbled
713965007,Sclerosis of portal vein and splenic vein caused by antiretroviral drug (disorder),SNOMED,liver_disease_hasbled
31005002,Hepatorenal syndrome due to a procedure (disorder),SNOMED,liver_disease_hasbled
722864002,Acute hepatic failure caused by hepatitis virus (disorder),SNOMED,liver_disease_hasbled
89789003,Chronic aggressive viral hepatitis (disorder),SNOMED,liver_disease_hasbled
720461006,Acute infantile liver failure due to synthesis defect of mitochondrial deoxyribonucleic acid encoded protein (disorder),SNOMED,liver_disease_hasbled
240792005,Symmer's pipe-stem fibrosis (disorder),SNOMED,liver_disease_hasbled
362421000000000,Chronic hepatitis annual review - enhanced services administration (procedure),SNOMED,liver_disease_hasbled
34742003,Portal hypertension (disorder),SNOMED,liver_disease_hasbled
51292008,Hepatorenal syndrome (disorder),SNOMED,liver_disease_hasbled
235916001,Ichthyosis congenita with biliary atresia (disorder),SNOMED,liver_disease_hasbled
24807004,Bleeding gastric varices (disorder),SNOMED,liver_disease_hasbled
424340000,Hepatic coma due to chronic hepatitis B (disorder),SNOMED,liver_disease_hasbled
1092800000000000,Hepatic ascites co-occurrent with chronic active hepatitis due to toxic liver disease (disorder),SNOMED,liver_disease_hasbled
768288001,Chronic hepatitis C caused by Hepatitis C virus genotype 1b (disorder),SNOMED,liver_disease_hasbled
703866000,Chronic hepatitis C with stage 2 fibrosis (disorder),SNOMED,liver_disease_hasbled
722865001,Subacute hepatic failure caused by hepatitis virus (disorder),SNOMED,liver_disease_hasbled
45256007,Cruveilhier-Baumgarten syndrome (disorder),SNOMED,liver_disease_hasbled
22846003,Hepatorenal syndrome following delivery (disorder),SNOMED,liver_disease_hasbled
