code,term,system,codelist
7713009,Intrapontine hemorrhage,SNOMED,stroke_chads
49422009,Cortical hemorrhage,SNOMED,stroke_chads
52201006,Internal capsule hemorrhage,SNOMED,stroke_chads
75038005,Cerebellar hemorrhage,SNOMED,stroke_chads
195165005,Basal ganglia hemorrhage,SNOMED,stroke_chads
195167002,External capsule hemorrhage,SNOMED,stroke_chads
195168007,"Intracerebral haemorrhage, intraventricular",SNOMED,stroke_chads
195169004,"Intracerebral hemorrhage, multiple localized",SNOMED,stroke_chads
230710000,Lobar cerebral hemorrhage,SNOMED,stroke_chads
274100004,Cerebral hemorrhage,SNOMED,stroke_chads
308128006,"Right sided intracerebral hemorrhage, unspecified",SNOMED,stroke_chads
732923001,Hemorrhage of medulla oblongata (disorder),SNOMED,stroke_chads
230712008,Lacunar hemorrhage (disorder),SNOMED,stroke_chads
276722003,Intracerebellar and posterior fossa hemorrhage (disorder),SNOMED,stroke_chads
95454007,Brain stem hemorrhage (disorder),SNOMED,stroke_chads
1078001000000100,Haemorrhagic stroke (disorder),SNOMED,stroke_chads
20908003,Subcortical cerebral hemorrhage (disorder),SNOMED,stroke_chads
230709005,Massive supratentorial cerebral hemorrhage (disorder),SNOMED,stroke_chads
230711001,Thalamic hemorrhage (disorder),SNOMED,stroke_chads
71444005,Cerebral thrombosis,SNOMED,stroke_chads
75543006,Cerebral embolism,SNOMED,stroke_chads
78569004,Posterior inferior cerebellar artery syndrome,SNOMED,stroke_chads
95457000,Brain stem infarction,SNOMED,stroke_chads
95460007,Cerebellar infarction,SNOMED,stroke_chads
195185009,Cerebral infarct due to thrombosis of precerebral arteries,SNOMED,stroke_chads
195186005,Cerebral infarction due to embolism of precerebral arteries,SNOMED,stroke_chads
195189003,Cerebral infarction due to thrombosis of cerebral arteries,SNOMED,stroke_chads
195190007,Cerebral infarction due to embolism of cerebral arteries,SNOMED,stroke_chads
195200006,Carotid artery syndrome hemispheric,SNOMED,stroke_chads
195201005,Multiple and bilateral precerebral artery syndromes,SNOMED,stroke_chads
195209007,Middle cerebral artery syndrome,SNOMED,stroke_chads
195210002,Anterior cerebral artery syndrome,SNOMED,stroke_chads
195211003,Posterior cerebral artery syndrome,SNOMED,stroke_chads
230691006,CVA - cerebrovascular accident due to cerebral artery occlusion,SNOMED,stroke_chads
230692004,Infarction - precerebral,SNOMED,stroke_chads
230698000,Lacunar infarction,SNOMED,stroke_chads
230699008,Pure motor lacunar syndrome,SNOMED,stroke_chads
230700009,Pure sensory lacunar infarction,SNOMED,stroke_chads
307766002,Left sided cerebral infarction,SNOMED,stroke_chads
307767006,Right sided cerebral infarction,SNOMED,stroke_chads
373606000,Occlusive stroke (disorder),SNOMED,stroke_chads
413102000,Infarction of basal ganglia (disorder),SNOMED,stroke_chads
432504007,Cerebral infarction (disorder),SNOMED,stroke_chads
724424009,Cerebral ischemic stroke due to small artery occlusion (disorder),SNOMED,stroke_chads
125081000119106,Cerebral infarction due to occlusion of precerebral artery,SNOMED,stroke_chads
140921000119102,Ischaemic stroke without coma,SNOMED,stroke_chads
