code,term,system,codelist
314442009,Minimum night interval systolic blood pressure (observable entity),SNOMED,systolic_blood_pressure
314443004,Maximum night interval systolic blood pressure (observable entity),SNOMED,systolic_blood_pressure
314445006,Average night interval systolic blood pressure (observable entity),SNOMED,systolic_blood_pressure
314441002,Minimum day interval systolic blood pressure (observable entity),SNOMED,systolic_blood_pressure
314448008,Maximum 24 hour systolic blood pressure (observable entity),SNOMED,systolic_blood_pressure
251070002,Non-invasive systolic arterial pressure (observable entity),SNOMED,systolic_blood_pressure
413606001,Average home systolic blood pressure (observable entity),SNOMED,systolic_blood_pressure
400974009,Standing systolic blood pressure (observable entity),SNOMED,systolic_blood_pressure
314438006,Minimum systolic blood pressure (observable entity),SNOMED,systolic_blood_pressure
314439003,Maximum systolic blood pressure (observable entity),SNOMED,systolic_blood_pressure
314464000,24 hour systolic blood pressure (observable entity),SNOMED,systolic_blood_pressure
314440001,Average systolic blood pressure (observable entity),SNOMED,systolic_blood_pressure
407556006,Lying systolic blood pressure (observable entity),SNOMED,systolic_blood_pressure
271649006,Systolic blood pressure (observable entity),SNOMED,systolic_blood_pressure
314444005,Maximum day interval systolic blood pressure (observable entity),SNOMED,systolic_blood_pressure
314446007,Average day interval systolic blood pressure (observable entity),SNOMED,systolic_blood_pressure
198081000000000,Ambulatory systolic blood pressure (observable entity),SNOMED,systolic_blood_pressure
314449000,Average 24 hour systolic blood pressure (observable entity),SNOMED,systolic_blood_pressure
314447003,Minimum 24 hour systolic blood pressure (observable entity),SNOMED,systolic_blood_pressure
399304008,Systolic blood pressure on admission (observable entity),SNOMED,systolic_blood_pressure
716579001,Baseline systolic blood pressure (observable entity),SNOMED,systolic_blood_pressure
407554009,Sitting systolic blood pressure (observable entity),SNOMED,systolic_blood_pressure
72313002,Systolic arterial pressure (observable entity),SNOMED,systolic_blood_pressure
