code,term,system,codelist
0208020V0AAABAB,Warfarin 3mg tablets (APC Pharmaceuticals & Chemicals (Europe) Ltd),BNF,warfarin
0208020V0AAABAB,Warfarin 3mg tablets (Actavis UK Ltd),BNF,warfarin
0208020V0AAABAB,Warfarin 3mg tablets (Alliance Healthcare (Distribution) Ltd),BNF,warfarin
0208020V0AAABAB,Warfarin 3mg tablets (Almus Pharmaceuticals Ltd),BNF,warfarin
0208020V0AAAAAA,Warfarin 1mg tablets (Zentiva),BNF,warfarin
0208020V0AAANAN,Warfarin 1mg/5ml oral solution (Special Order),BNF,warfarin
0208020V0AAANAN,Warfarin 1mg/5ml oral suspension (Special Order),BNF,warfarin
0208020V0AABBBB,Warfarin 1mg/ml oral suspension sugar free (A A H Pharmaceuticals Ltd),BNF,warfarin
0208020V0AABBBB,Warfarin 1mg/ml oral suspension sugar free (Alliance Healthcare (Distribution) Ltd),BNF,warfarin
0208020V0AAASAS,Warfarin 500microgram tablets (Advanz Pharma),BNF,warfarin
0208020V0AAASAS,Warfarin 500microgram tablets (Alliance Healthcare (Distribution) Ltd),BNF,warfarin
0208020V0AAASAS,Warfarin 500microgram tablets (Arrow Generics Ltd),BNF,warfarin
0208020V0AAASAS,Warfarin 500microgram tablets (DE Pharmaceuticals),BNF,warfarin
0208020V0AAAAAA,Warfarin 1mg tablets (Mylan),BNF,warfarin
0208020V0AAAAAA,Warfarin 1mg tablets (Phoenix Healthcare Distribution Ltd),BNF,warfarin
0208020V0AAAAAA,Warfarin 1mg tablets (Sandoz Ltd),BNF,warfarin
0208020V0AAAAAA,Warfarin 1mg tablets (Sun Pharmaceutical Industries Europe B.V.),BNF,warfarin
0208020V0AAADAD,Warfarin 5mg tablets (Arrow Generics Ltd),BNF,warfarin
0208020V0AAADAD,Warfarin 5mg tablets (Bristol Laboratories Ltd),BNF,warfarin
0208020V0AAADAD,Warfarin 5mg tablets (Crescent Pharma Ltd),BNF,warfarin
0208020V0AAADAD,Warfarin 5mg tablets (DE Pharmaceuticals),BNF,warfarin
0208020V0AAABAB,Warfarin 3mg tablets (Arrow Generics Ltd),BNF,warfarin
0208020V0AAABAB,Warfarin 3mg tablets (Bristol Laboratories Ltd),BNF,warfarin
0208020V0AAABAB,Warfarin 3mg tablets (Crescent Pharma Ltd),BNF,warfarin
0208020V0AAABAB,Warfarin 3mg tablets (DE Pharmaceuticals),BNF,warfarin
0208020V0AAADAD,Warfarin 5mg tablets (IVAX Pharmaceuticals UK Ltd),BNF,warfarin
0208020V0AAADAD,Warfarin 5mg tablets (Kent Pharmaceuticals Ltd),BNF,warfarin
0208020V0AAADAD,Warfarin 5mg tablets (Mawdsley-Brooks & Company Ltd),BNF,warfarin
0208020V0AAADAD,Warfarin 5mg tablets (Mylan),BNF,warfarin
0208020V0AAADAD,Warfarin 5mg tablets (Torrent Pharma (UK) Ltd),BNF,warfarin
0208020V0AAADAD,Warfarin 5mg tablets (Waymade Healthcare Plc),BNF,warfarin
0208020V0AAADAD,Warfarin 5mg tablets (Zentiva),BNF,warfarin
0208020V0AAAIAI,Warfarin 5mg/5ml oral solution (Special Order),BNF,warfarin
0208020V0AAAIAI,Warfarin 5mg/5ml oral suspension (Special Order),BNF,warfarin
0208020V0AAARAR,Warfarin 1.5mg/5ml oral solution,BNF,warfarin
0208020V0AAATAT,Warfarin 100micrograms/5ml oral solution,BNF,warfarin
0208020V0AAAVAV,Warfarin 10mg/5ml oral solution,BNF,warfarin
